algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,32768,1024,1,29755008320.333332,27868573960.666668,4559387403.0,2889876964.3333335,249.816
qr,32768,1024,2,30523439763.666668,27502454109.333332,5575550265.0,2072754189.3333333,252.73733333333334
qr,32768,1024,3,26193048281.666668,22560463160.0,5605657156.0,2096843922.0,255.018
qr,32768,1024,4,26239916183.0,22593613607.666668,5622003100.0,2079410877.0,255.80499999999998
qr,32768,1024,5,26165603812.333332,23328701590.0,5575316215.666667,2084027974.0,252.85500000000002
qr,32768,1024,6,24870959808.666668,23407265638.666668,4549736290.666667,2889502293.0,249.26999999999998
qr,32768,1024,7,20177933187.666668,17878813768.0,4759981475.0,2477698911.6666665,234.76733333333334
qr,32768,1024,8,20228188043.333332,19783436476.0,3508444076.0,3725942358.0,254.0523333333333
qr,32768,1024,9,30435096239.333332,26971259444.666668,5542561369.333333,2063686801.6666667,250.96400000000003
qr,32768,1024,10,30301715213.666668,27283587359.666668,5534958156.333333,2066213561.3333333,250.94066666666666
qr,32768,1024,11,26246318002.0,22504625737.333332,5624954352.666667,2067154914.3333333,255.465
qr,32768,1024,12,24920451482.666668,22950749493.666668,4626985644.0,2916767520.0,254.20933333333335
qr,32768,1024,13,25879776480.333332,23034574922.333332,5555887169.0,2063649490.0,251.97966666666665
qr,32768,1024,14,24965833446.666668,23488168263.333332,4573786345.333333,2900005477.6666665,250.83
qr,32768,1024,15,21951800370.666668,18471790216.333332,5586233969.333333,1916642592.6666667,254.367
qr,32768,1024,16,21639711061.333332,17987686882.0,5607552157.666667,1896885095.6666667,255.48566666666667
qr,32768,2048,1,65699049685.0,58390921339.666664,10782249619.333334,3899216459.3333335,497.6483333333333
qr,32768,2048,2,63645177826.666664,56966857888.0,10715669334.0,3873593045.0,494.56033333333335
qr,32768,2048,3,61508510445.333336,51972072700.333336,10926435223.0,3907362787.0,506.3036666666667
qr,32768,2048,4,59963476213.333336,50404159071.666664,10931746975.0,3893674534.6666665,507.78266666666667
qr,32768,2048,5,47063369487.0,44333150260.0,10559525606.666666,3920079152.3333335,489.3923333333334
qr,32768,2048,6,45316983109.0,41739586221.0,10419820312.0,3832277016.6666665,481.68133333333327
qr,32768,2048,7,41711734688.666664,36284070198.333336,10428948445.0,3371229534.6666665,482.87833333333333
qr,32768,2048,8,41446001828.0,35054626121.0,10670208321.0,3321042051.0,496.72133333333335
qr,32768,2048,9,62415475347.666664,56534186042.0,10477744362.666666,3792571043.0,482.44266666666664
qr,32768,2048,10,62335391853.0,55894742631.333336,10642439147.333334,3817245271.3333335,490.6086666666667
qr,32768,2048,11,60373822228.666664,51631253281.0,10888766862.333334,3909718456.3333335,505.54366666666664
qr,32768,2048,12,58068664393.0,49359724143.333336,10769252269.0,3830038550.3333335,498.6453333333333
qr,32768,2048,13,46554615785.0,44311839238.333336,10624209860.0,3959106111.0,492.45133333333337
qr,32768,2048,14,44863116819.333336,41184398922.0,10443860238.666666,3823070461.0,481.96066666666667
qr,32768,2048,15,42507961166.666664,36523555364.0,10748322874.0,3365680806.0,500.5423333333333
qr,32768,2048,16,40894005113.333336,34636454075.0,10715636076.0,3291667566.3333335,498.94599999999997
