algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,arithm_intensity_task1,arithm_intensity_task2,arithm_intensity_task3,arithm_intensity_task4,bmr_task1,bmr_task2,bmr_task3,bmr_task4,ilp_task1,ilp_task2,ilp_task3,ilp_task4,l3_cache_ratio_task1,l3_cache_ratio_task2,l3_cache_ratio_task3,l3_cache_ratio_task4,mem_boundness_task1,mem_boundness_task2,mem_boundness_task3,mem_boundness_task4
qr,16384,512,1,1811741577.6666667,1844344623.6666667,329736266.3333333,211998462.3333333,14.979933333333332,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,2,1803222048.0,1840954861.6666667,328580846.6666667,210746591.3333333,14.9446,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,3,1763394310.0,1803695679.3333333,343042809.3333333,219839968.0,15.8295,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,4,1719900219.3333333,1775685070.0,336605951.6666667,217516846.3333333,15.545866666666669,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,5,1430790160.6666667,1372810938.6666667,309872965.3333333,202211409.3333333,14.0698,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,6,1446889383.0,1387749092.0,319163207.0,203431722.3333333,14.465633333333336,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,7,1406412476.3333333,1335405924.0,319927829.6666667,209117992.66666663,14.728266666666665,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,8,1406561116.6666667,1346344087.6666667,327450651.0,209284742.3333333,15.0035,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,9,1820774941.0,1853328222.3333333,326555682.6666667,210826676.3333333,14.828466666666666,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,10,1832066396.0,1872872626.3333333,328978483.6666667,210189263.0,14.984866666666669,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,11,1799878876.0,1826194686.6666667,349139390.6666667,217896235.0,16.0937,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,12,1776388315.3333333,1808687467.6666667,354238044.0,214664426.3333333,16.19173333333333,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,13,1407121784.6666667,1357469994.6666667,304160690.6666667,201185769.3333333,13.8307,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,14,1457159111.6666667,1395236133.0,324296607.0,203988540.0,14.768733333333335,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,15,1440327509.6666667,1375984860.6666667,332283854.6666667,209450502.3333333,15.293833333333334,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,512,16,1417181288.3333333,1352461564.3333333,306268612.0,226234638.0,15.090733333333333,0.00068,0.000888,0.000736,0.001603,0.003868,0.006396,0.002209,0.003298,0.707955,1.841381,0.511163,2.770663,0.090707,0.962726,2.002958,57.874482,0.639349,0.507906,0.708693,0.286662
qr,16384,1024,1,5095844417.0,4583806217.666667,813504774.3333334,357033848.6666667,38.3877,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,2,4790580957.333333,4378971435.666667,788365374.6666666,350104673.0,37.132266666666666,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,3,5032856948.333333,4458333293.0,878260968.3333334,384992839.0,42.2749,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,4,4794359451.0,4254859733.0,864164425.6666666,378770303.6666667,41.7574,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,5,3629725367.6666665,3442595739.6666665,783863242.3333334,354597788.0,37.05546666666667,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,6,3661652349.3333335,3400639467.333333,806770749.3333334,355288379.0,38.37203333333333,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,7,3649178992.3333335,3278629587.0,844880423.3333334,368760804.3333333,41.21573333333333,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,8,3593742244.6666665,3193012740.6666665,878055586.3333334,338204531.3333333,42.3453,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,9,5087371314.666667,4531548580.0,813872560.3333334,353482667.3333333,38.48663333333334,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,10,4875389822.0,4420857253.333333,810844338.6666666,351079415.0,38.21946666666667,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,11,5046610819.333333,4436247229.0,890748135.0,386288999.0,42.85566666666667,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,12,4920128944.666667,4285216446.6666665,891506581.0,379551129.3333333,42.89783333333333,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,13,3645906397.6666665,3458355791.0,797301992.3333334,359293230.3333333,37.78866666666667,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,14,3487212610.0,3357512767.333333,698911068.3333334,449709386.3333333,37.56133333333333,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,15,3657978957.0,3236542353.333333,863697734.6666666,357341628.6666667,41.7377,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,1024,16,3541435778.333333,3186236350.333333,869219764.6666666,357092243.6666667,42.1312,0.00073,0.002656,0.001189,0.002212,0.004428,0.004645,0.005485,0.006776,0.472403,1.950191,0.422934,2.958456,0.305447,5.232788,5.397919,73.389016,0.717059,0.494174,0.736158,0.245405
qr,16384,2048,1,16814087591.333334,15118283562.666666,2579566036.333333,915863145.3333334,124.54066666666664,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,2,14730872241.333334,13992363898.333334,2257564944.333333,1205017173.3333333,119.93233333333332,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,3,16754131609.0,14842967698.0,2766523238.333333,998728191.0,136.17999999999998,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,4,15422411670.0,13545302807.333334,2736323543.0,986033250.3333334,134.5823333333333,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,5,12601617520.333334,11705572390.0,2540860453.0,915262610.3333334,124.627,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,6,11548016213.0,10966641867.666666,2561033819.333333,932439707.0,125.512,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,7,12440247653.0,10908221220.333334,2670412101.6666665,845256721.3333334,133.11766666666665,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
qr,16384,2048,8,11183191728.333334,9948803897.0,2642634599.6666665,847492653.0,131.727,0.055286,0.005668,0.116909,0.003796,0.004169,0.003469,0.00337,0.002149,0.320769,1.692782,0.26168,3.023578,80.103571,20.236362,912.078474,111.875321,0.809519,0.56732,0.849119,0.23245
